Date,Dow Jones Industrial Average
03/2011,66694.21936459973
04/2011,66397.30110674167
05/2011,67543.17215266371
06/2011,66488.69811819422
07/2011,66005.08333673114
08/2011,62556.54838792255
09/2011,62986.00365830891
10/2011,66653.00049237316
11/2011,70372.42409573853
12/2011,74129.03313689292
01/2012,75381.17363824038
02/2012,76020.89832850345
03/2012,78163.3673052778
04/2012,79129.01540213481
05/2012,79396.6916648203
06/2012,81386.48502067804
07/2012,84375.80558880419
08/2012,83045.81137153425
09/2012,83223.57250884263
10/2012,80844.38220078283
11/2012,80787.14171725817
12/2012,80138.66142198794
01/2013,82644.82352457159
02/2013,86796.43290539108
03/2013,92427.99799511081
04/2013,92296.18436325408
05/2013,94838.89683188357
06/2013,93122.88819709522
07/2013,95538.81451104757
08/2013,91891.80529159664
09/2013,92100.54221791279
10/2013,93807.39886634507
11/2013,97606.43734583656
12/2013,99405.04101982356
01/2014,96168.0781360383
02/2014,98183.06110238106
03/2014,99276.9026493538
04/2014,99690.34119792999
05/2014,102679.50552484495
06/2014,103058.65413352421
07/2014,103696.50759216267
08/2014,108980.8781378166
09/2014,113958.85756836562
10/2014,116967.0900663058
11/2014,120709.7772507966
12/2014,124253.1251765566
01/2015,128665.29576243716
02/2015,137189.16133340896
03/2015,140670.41193115356
04/2015,135555.98191606818
05/2015,140456.6927677661
06/2015,134867.07828947462
07/2015,138317.18989225864
08/2015,126878.15573961454
09/2015,125297.12315722898
10/2015,138360.2220876469
11/2015,145105.06314976586
12/2015,138858.99904289268
01/2016,130982.53737336259
02/2016,132349.1671086138
03/2016,135705.20770539794
04/2016,136326.01772139853
05/2016,140057.21638140423
06/2016,142043.55098845946
07/2016,146067.9233358088
08/2016,146197.52262121075
09/2016,145218.04999895574
10/2016,146899.87248969194
11/2016,160086.0275300535
12/2016,167076.01379716015
01/2017,164767.03105393765
02/2017,175865.2824128014
03/2017,173281.75553371638
04/2017,171947.06865070388
05/2017,168681.4613785386
06/2017,168749.67649116015
07/2017,168613.6340394952
08/2017,168308.21160858712
09/2017,172226.6681148294
10/2017,182471.7623044221
11/2017,186815.99089786445
12/2017,188123.55865154605
01/2018,191763.4118155033
