Date,S&P 500 Health Care Sector
12/2015,194439.1019042585
01/2016,179129.45766291395
02/2016,178771.4086548657
03/2016,175708.13089737762
04/2016,180569.974399557
05/2016,188654.749985198
06/2016,191476.94334240878
07/2016,200736.77069062274
08/2016,193743.4005086704
09/2016,192259.08498278583
10/2016,183242.96573495018
11/2016,192282.35772375032
12/2016,195415.62336237746
01/2017,195827.45074558258
02/2017,211535.9641826367
03/2017,208803.54098928237
04/2017,207389.24496118864
05/2017,203659.22341143523
06/2017,209500.76220699455
07/2017,205453.56865904309
08/2017,207515.89062786408
09/2017,209909.55249505898
10/2017,211310.67544121327
11/2017,213605.28785926016
12/2017,209676.4387924372
01/2018,215284.98618847693
02/2018,209803.1283796061
03/2018,201597.97404994135
04/2018,208142.32056091903
05/2018,215383.9085220185
06/2018,219654.95491195537
07/2018,232626.1405684978
08/2018,244566.2393272806
09/2018,253358.38062546728
10/2018,241797.94291338383
11/2018,257916.3970877311
12/2018,233823.8870414133
01/2019,244337.50102769304
02/2019,248764.8634695549
03/2019,254013.19186757747
04/2019,247696.80157847467
05/2019,243310.32308418275
06/2019,254247.76897487644
07/2019,255332.80191227366
08/2019,256714.34672324205
09/2019,259735.28681714914
10/2019,266536.4587209554
11/2019,284348.13276542077
12/2019,287947.91487748723
01/2020,284729.655107449
02/2020,267568.14757476764
03/2020,257841.44459777736
04/2020,292589.51948811224
05/2020,295162.49089211057
06/2020,286544.71895615634
07/2020,285409.0447813282
08/2020,290762.8533409965
09/2020,290143.1342555943
10/2020,279697.81854461436
11/2020,294796.638256449
12/2020,299057.2660928523
01/2021,306680.3012943695
02/2021,300591.91361607675
03/2021,322937.1400823915
04/2021,325805.29012950056
05/2021,328727.7555361029
06/2021,345393.5163848107
07/2021,362097.89229077304
08/2021,372483.97184587474
09/2021,359569.4543909743
10/2021,375990.30719492683
11/2021,373775.4552557811
12/2021,408675.59616043
01/2022,386870.2102068769
02/2022,381452.209750706
03/2022,406221.18232236645
04/2022,407695.2505345265
05/2022,406882.5118536837
06/2022,408482.0014491664
07/2022,429877.4241508982
08/2022,413037.96327352006
09/2022,412714.7871111356
10/2022,445222.79664818937
11/2022,445895.5894619234
12/2022,425483.8434424624
01/2023,411099.43748472363
02/2023,400058.87374313804
03/2023,399330.13660870394
04/2023,407635.356867761
05/2023,401036.5160337165
06/2023,411462.987798955
07/2023,409736.77923657227
08/2023,412704.19442160527
09/2023,410837.92917060666
10/2023,396709.4734634808
11/2023,406229.85616804805
12/2023,419145.83142045635
01/2024,440254.2896599715
02/2024,454875.68529858015
03/2024,466326.6530308469
04/2024,446474.3882917726
05/2024,451476.2014731588
06/2024,466424.3928952188
07/2024,473357.5781411798
08/2024,485892.5090824584
09/2024,473061.08432032075
