Date,MSCI Europe Growth
01/1994,87077.59843382458
02/1994,83515.00846967653
03/1994,79427.95398641525
04/1994,82739.47122512126
05/1994,77228.0615019111
06/1994,74934.20606668861
07/1994,76300.97757018622
08/1994,79481.32072506298
09/1994,75443.55159954734
10/1994,76749.12237347178
11/1994,75134.66795788414
12/1994,77574.01479430927
01/1995,75283.00314113693
02/1995,76731.67445743093
03/1995,77717.09882343843
04/1995,78655.09452695523
05/1995,81185.84385869854
06/1995,82357.62045009664
07/1995,85584.61197890741
08/1995,85458.2234507181
09/1995,89568.21916750357
10/1995,87924.14586997259
11/1995,88414.22900420081
12/1995,92329.55231804852
01/1996,94538.99902838172
02/1996,96798.24568976526
03/1996,98119.29351986229
04/1996,99322.97929687669
05/1996,101246.61350402283
06/1996,101839.43312778209
07/1996,98794.35372046645
08/1996,100504.57444210755
09/1996,104093.15430588862
10/1996,107103.76262451673
11/1996,110680.44552200388
12/1996,115065.9134909284
01/1997,117982.05222307943
02/1997,123948.4600501995
03/1997,129459.32316299278
04/1997,129253.1644386239
05/1997,133399.36984608346
06/1997,142785.7388807786
07/1997,153532.01320727222
08/1997,148753.15835571726
09/1997,158843.92977549776
10/1997,145847.37283228908
11/1997,144837.267869643
12/1997,154159.3491875821
01/1998,164542.37471522728
02/1998,178171.14624509195
03/1998,186827.4391447421
04/1998,188864.07975889146
05/1998,189377.26338833006
06/1998,195036.82277021525
07/1998,196951.33320760317
08/1998,175738.8373545103
09/1998,160862.5077218109
10/1998,168772.31275230634
11/1998,182447.4292788098
12/1998,193419.01208432578
01/1999,200659.6050983748
02/1999,199199.6053084739
03/1999,199926.85503041933
04/1999,200542.9864423899
05/1999,195567.39313598882
06/1999,201155.06322655367
07/1999,192290.72588983574
08/1999,197506.18893432812
09/1999,194977.34293567447
10/1999,209971.8116354742
11/1999,230681.72520836405
12/1999,260585.6034176346
01/2000,254546.36661148036
02/2000,276946.1987863114
03/2000,285525.88372280885
04/2000,286182.0120612152
05/2000,266413.92848498886
06/2000,263044.4044347355
07/2000,260979.39948903272
08/2000,265920.5106575211
09/2000,255117.4425102107
10/2000,259473.940490272
11/2000,238205.85604266217
12/2000,234512.72227608674
01/2001,232223.6902989478
02/2001,207713.49006361794
03/2001,198959.27867243244
04/2001,213207.99542775372
05/2001,209989.73430361904
06/2001,200932.933471306
07/2001,194056.82770447235
08/2001,177389.44572850745
09/2001,161741.58934795123
10/2001,170530.81439530815
11/2001,181401.61849201535
12/2001,187714.6859977561
01/2002,182524.04968937958
02/2002,183549.2064417505
