Date,MSCI World Minimum Volatility (USD)
10/2012,53940.88960153657
11/2012,53993.54246938762
12/2012,52674.19654666069
01/2013,53663.954123153904
02/2013,56775.46002954116
03/2013,61165.51731835481
04/2013,61700.753252379225
05/2013,59059.2130268044
06/2013,58421.351275588655
07/2013,59394.747759707934
08/2013,57944.69306973647
09/2013,58640.53858369869
10/2013,60147.78753434917
11/2013,60264.5787784928
12/2013,59770.59559218442
01/2014,59316.78790153391
02/2014,60333.414665218304
03/2014,61076.88254617284
04/2014,61719.05572243503
05/2014,63745.65485270937
06/2014,64552.00125917481
07/2014,65161.692851915795
08/2014,68071.63036230323
09/2014,69670.05660575083
10/2014,72104.33191968732
11/2014,73826.62616644862
12/2014,75610.17789357065
01/2015,82374.90766827457
02/2015,85304.22292249596
03/2015,88576.34408732342
04/2015,85866.76933762582
05/2015,87368.20481045218
06/2015,83785.80458775222
07/2015,88231.86645747216
08/2015,82529.25103197483
09/2015,81579.19178901601
10/2015,87892.43088427953
11/2015,90578.0641074297
12/2015,88671.92319321334
01/2016,86931.46662083353
02/2016,89020.37049743788
03/2016,89928.48430844469
04/2016,90698.57947185451
05/2016,92559.27910871073
06/2016,96919.91417363165
07/2016,98692.43788255629
08/2016,95671.064479512
09/2016,95545.08952529657
10/2016,94135.63591814724
11/2016,95433.21909712357
12/2016,98424.67418091156
01/2017,98218.58331470184
02/2017,102961.70512222506
03/2017,102449.20743081851
04/2017,101242.83127035058
05/2017,101492.25341672878
06/2017,99203.79443416068
07/2017,98378.2152180663
08/2017,98372.64322888342
09/2017,98716.89923525247
10/2017,101563.61105228435
11/2017,102556.64623621435
12/2017,101492.8988059718
01/2018,100654.87082733537
02/2018,98524.256138769
03/2018,97560.52388759979
04/2018,99596.38105588038
05/2018,103003.24445282794
06/2018,104048.06195369901
07/2018,106637.55404749153
08/2018,109074.28734560046
09/2018,111095.73722060428
10/2018,108440.72590078675
11/2018,111162.67261636176
12/2018,104144.63099856951
01/2019,109149.90888340633
02/2019,113168.85372522037
03/2019,117377.65023128525
04/2019,118691.86898225594
05/2019,118266.87863487437
06/2019,121399.62339892685
07/2019,124459.99488495775
08/2019,127903.66832450825
09/2019,130923.45590283045
10/2019,128908.99705588138
11/2019,131656.6935436637
12/2019,130740.15662412613
01/2020,135493.3461852602
02/2020,125444.64614800745
03/2020,113196.46429228364
04/2020,122261.80507628035
05/2020,122680.16950568728
06/2020,121653.39348608846
07/2020,119454.97818380645
08/2020,121433.15289315811
09/2020,121800.36771388439
10/2020,117986.91696130467
11/2020,123268.62783876988
12/2020,122819.06958310633
01/2021,121786.95453627555
02/2021,119949.74894013845
03/2021,130115.65456936075
04/2021,130014.11800725794
05/2021,131003.08006751498
06/2021,135833.0185975772
07/2021,139403.20541578255
08/2021,142588.32158906804
09/2021,139130.58275813016
10/2021,142610.7237714857
11/2021,143218.4753706977
12/2021,152037.67534896015
01/2022,145824.3076910536
02/2022,142710.37554115217
03/2022,150544.7915203233
04/2022,150856.46683394726
05/2022,147345.87358913207
06/2022,145324.3677688714
07/2022,153310.709668608
08/2022,151717.07061068702
09/2022,144918.82418356455
10/2022,150743.70334963658
11/2022,152797.69438607205
12/2022,145636.80108709497
01/2023,146051.28445985424
02/2023,143664.7019341775
03/2023,145832.89366767
04/2023,148279.60410180173
05/2023,146347.24970927718
06/2023,148277.00661389454
07/2023,148089.4078952499
