Date,STOXX Europe 600 Industrial Goods & Services
08/2009,47007.89583044743
09/2009,48952.763540656604
10/2009,47663.11123424297
11/2009,48375.12120792354
12/2009,51971.18714503394
01/2010,51724.61559772822
02/2010,52406.15043634853
03/2010,57416.53968693725
04/2010,58750.51946252944
05/2010,56890.15099044189
06/2010,57465.00900401718
07/2010,59750.657985870625
08/2010,57797.47887519047
09/2010,62264.85662834188
10/2010,63940.98905665605
11/2010,65660.06372073694
12/2010,70450.20085884472
01/2011,71026.45795816595
02/2011,72023.8260146835
03/2011,71315.9717412384
04/2011,74315.00207785012
05/2011,73857.86119961213
06/2011,72019.67031444798
07/2011,67938.77268319712
08/2011,60137.13810777116
09/2011,54948.05374705638
10/2011,60148.219975065804
11/2011,59761.73985316526
12/2011,60533.31486355451
01/2012,65110.12605624048
02/2012,68775.45366394237
03/2012,68962.46017453942
04/2012,68481.78418063444
05/2012,63663.94237429007
06/2012,64821.99750657986
07/2012,68545.50491757861
08/2012,69894.72226070093
09/2012,70980.74525557557
10/2012,71921.31874220807
11/2012,74360.7009281064
12/2012,75768.11192685968
01/2013,77228.14794292838
02/2013,80610.87408228287
03/2013,82170.66075633746
04/2013,81037.5398254606
05/2013,84259.59274137692
06/2013,79713.25668375121
07/2013,84769.35863693032
08/2013,84380.10804820612
09/2013,89635.68361268874
10/2013,91929.63014267905
11/2013,93035.0464053193
12/2013,95004.84831694141
01/2014,93030.8907050838
02/2014,95996.67543981162
03/2014,95629.58858567668
04/2014,95107.35558941682
05/2014,97566.14489541488
06/2014,95737.63679179942
07/2014,92816.17952625017
08/2014,94844.14738883502
09/2014,94000.55409336473
10/2014,92577.91937941544
11/2014,95028.39728494252
12/2014,95295.7473334257
01/2015,102023.82601468348
02/2015,110610.88793461699
03/2015,112040.44881562545
04/2015,111849.28660479293
05/2015,113475.53677794708
06/2015,107140.87823798311
07/2015,110321.37415154454
08/2015,102220.5153068292
09/2015,95873.38966615875
10/2015,103809.3918825322
11/2015,110098.35157223993
12/2015,102861.87837650644
01/2016,97192.13187422081
02/2016,97496.88322482338
03/2016,101706.60756337443
04/2016,102745.53262224686
05/2016,106149.0511151129
06/2016,99941.82019670315
07/2016,105689.15362238538
08/2016,108729.74096135198
09/2016,108503.94791522372
10/2016,106035.46197534284
11/2016,109454.21803573903
12/2016,114236.04377337582
01/2017,115099.04418894585
02/2017,119423.74290067877
03/2017,123483.86203075219
04/2017,129474.99653691647
05/2017,129378.03019808838
06/2017,127168.5829062197
07/2017,125003.46308352958
08/2017,124713.94930045713
09/2017,132698.43468624464
10/2017,137345.89278293392
11/2017,133463.08352957474
12/2017,133557.27940157917
01/2018,138181.18853026736
02/2018,132691.50851918547
03/2018,129251.97395761186
04/2018,133253.91328438843
05/2018,137086.85413492174
06/2018,136078.40421110956
07/2018,140933.64731957336
08/2018,140730.01800803436
09/2018,140369.85732095857
10/2018,127556.44826153207
11/2018,123734.5892782934
12/2018,116237.70605347001
01/2019,125511.84374567115
02/2019,131054.16262640255
03/2019,132051.53068292007
04/2019,142590.3726277878
05/2019,132475.41210694003
06/2019,141901.92547444248
07/2019,141076.32636099184
08/2019,138541.34921734312
09/2019,142676.27095165534
10/2019,147210.1399085746
11/2019,154083.66809807453
12/2019,156730.84914808147
01/2020,156190.6081174678
02/2020,141145.58803158332
03/2020,111673.36196149052
04/2020,120609.50270120516
05/2020,128769.91273029507
06/2020,134604.51586092258
07/2020,136485.66283418756
08/2020,145083.7927690816
09/2020,145691.92408920903
10/2020,140775.73071062475
11/2020,159890.56656046544
12/2020,166038.23244216654
01/2021,164702.8674331625
02/2021,171559.77282172046
03/2021,182116.63665327607
04/2021,186981.57639562266
05/2021,190761.86452417233
06/2021,194492.31195456436
07/2021,201371.3810777116
08/2021,207773.92990718936
