Date,MSCI Japan
02/1996,95278.28503769777
03/1996,98577.84269630908
04/1996,105070.83069080579
05/1996,100872.43165353744
06/1996,100619.67101879876
07/1996,94653.46490371466
08/1996,89603.25457153987
09/1996,93511.27457981155
10/1996,87508.7041729641
11/1996,88033.30901156768
12/1996,83761.83964710809
01/1997,76675.18483653797
02/1997,81884.87354692913
03/1997,80106.37120126747
04/1997,83463.36283323154
05/1997,92397.49774126743
06/1997,100418.49895399339
07/1997,100068.03076643984
08/1997,93996.04532816782
09/1997,90147.02421213475
10/1997,80265.93678216366
11/1997,73789.0161172751
12/1997,71443.7117801591
01/1998,79607.93318431091
02/1998,79846.37109193606
03/1998,74688.54407447204
04/1998,73882.25756313583
05/1998,68758.29295118156
06/1998,70230.41206920662
07/1998,69469.76825781337
08/1998,61296.95792866315
09/1998,56842.02937532598
10/1998,63922.55395276339
11/1998,68779.52409743848
12/1998,70985.37797278687
01/1999,73836.63747184843
02/1999,74615.26012261683
03/1999,87147.86347245782
04/1999,92028.1148391157
05/1999,88012.96821124744
06/1999,97538.08765238679
07/1999,103604.93516601376
08/1999,104058.71157778056
09/1999,109420.69334662614
10/1999,116425.81991065523
11/1999,125698.859256007
12/1999,134177.6403518515
01/2000,131709.4796200742
02/2000,129311.80195279229
03/2000,142334.35167607473
04/2000,138412.19814333264
05/2000,128288.78319769955
06/2000,133478.44841463986
07/2000,122106.42962303969
08/2000,134931.53886968497
09/2000,130289.94388917944
10/2000,127808.65800987005
11/2000,118732.07962946883
12/2000,104069.11234866935
01/2001,102964.01640701247
02/2001,98811.33043303688
03/2001,100394.04512166687
04/2001,106683.23381508059
05/2001,111397.4146295654
06/2001,104762.41223122303
07/2001,93911.23528946946
08/2001,87532.68444031473
09/2001,79589.33360929071
10/2001,80207.20916113217
11/2001,82389.59619297419
12/2001,77570.21603549755
01/2002,72954.87616581745
02/2002,75859.76474150439
03/2002,79539.04220252311
04/2002,81515.7577355054
05/2002,83100.77426980707
06/2002,74127.02557216857
