Date,MSCI AC Asia Pacific ex-Japan
02/2009,40673.84307181272
03/2009,44393.308972046885
04/2009,51288.59227118645
05/2009,55272.704312668466
06/2009,55653.69581151833
07/2009,62497.406082897156
08/2009,61774.60787556055
09/2009,66009.15070682237
10/2009,65079.6075
11/2009,65896.82316448112
12/2009,71190.03723448563
01/2010,68812.35414578262
02/2010,71756.9454826824
03/2010,77693.0628088137
04/2010,79698.91200901239
05/2010,77009.97991387016
06/2010,77783.58423926329
07/2010,78729.09303039608
08/2010,79579.58891167193
09/2010,82763.3534876905
10/2010,83720.13150032474
11/2010,87485.59706108633
12/2010,90887.95635383924
01/2011,87546.4198948291
02/2011,85197.25805985254
03/2011,87263.79031463363
04/2011,87034.39934051145
05/2011,87863.35908237749
06/2011,85738.66408358126
07/2011,87217.02946704069
08/2011,78792.64866435986
09/2011,72920.13925794266
10/2011,79646.99280051426
11/2011,76556.98291846772
12/2011,79422.89603524229
01/2012,85995.72349726775
02/2012,88719.10203079668
03/2012,86597.18854447441
04/2012,87982.26415922507
05/2012,83987.74951221478
06/2012,86061.974725973
07/2012,91653.11566265061
08/2012,89017.49345809214
09/2012,91947.89819025523
10/2012,91933.4087739552
11/2012,94138.41276759587
12/2012,95511.90095497954
01/2013,95487.92448708486
02/2013,99479.09956584661
03/2013,100392.22106989459
04/2013,100857.56860465118
05/2013,97062.19274181146
06/2013,90867.52266055044
07/2013,91438.70955932203
08/2013,91064.4369021534
09/2013,94545.85315068492
10/2013,97979.77079393006
11/2013,97181.5299977959
12/2013,94712.68048727431
01/2014,91743.74693696361
02/2014,93867.06602475929
03/2014,95722.07689295038
04/2014,96287.89490252707
05/2014,101179.64311016389
06/2014,102539.36999560698
07/2014,108416.37730772104
08/2014,110861.43685168336
09/2014,107771.49226734482
10/2014,111244.76545832005
11/2014,110165.62465753425
12/2014,110912.45070422538
01/2015,120901.9462184874
02/2015,125488.0518149466
03/2015,130756.9022771633
04/2015,132776.28385198393
05/2015,132142.4806381039
06/2015,124563.46985432121
07/2015,120751.37479711861
08/2015,106126.72290682123
09/2015,103823.22926001964
10/2015,113540.04513025326
11/2015,115278.78926174497
12/2015,112410.80418848168
01/2016,103292.6784065934
02/2016,102681.95686994855
03/2016,109562.96679841896
04/2016,109321.21625887923
05/2016,110028.4245831092
06/2016,112987.3859124482
07/2016,119208.12687843067
08/2016,121514.66146245059
09/2016,123388.00775916137
10/2016,123721.34635483283
11/2016,124508.2209308886
12/2016,124294.06805805903
01/2017,128890.07899581591
02/2017,135328.30270831365
03/2017,138286.05094004303
04/2017,137394.65445562673
05/2017,137411.88466268603
06/2017,137691.3097791798
07/2017,140990.83131235608
08/2017,141299.11194926003
09/2017,141132.50791123157
10/2017,148984.81232170478
11/2017,147232.0506203055
12/2017,150016.00298507462
01/2018,154132.87133338684
02/2018,149789.3162436548
03/2018,145211.76216216217
04/2018,149607.59562877723
05/2018,153210.2059663219
06/2018,148070.79511065365
07/2018,148764.82745398773
08/2018,148205.4813149086
09/2018,147135.32508638565
10/2018,135051.9895918007
11/2018,140570.4664495114
12/2018,135629.88209606986
01/2019,145032.8164345404
02/2019,149330.61217589348
03/2019,154094.52144192255
04/2019,157080.4932964878
05/2019,147061.01824051654
06/2019,153346.90966608084
07/2019,154522.80435835352
08/2019,149325.79958318232
09/2019,154082.931839471
10/2019,156509.24168908017
11/2019,159635.5910034602
12/2019,165171.87126580023
01/2020,161680.8403908795
02/2020,155911.2977316207
03/2020,134324.24277108436
04/2020,148599.68236484
05/2020,144680.58168103447
06/2020,155732.3418110377
07/2020,158911.08514517217
08/2020,163744.34969849247
09/2020,163197.15081995216
10/2020,167276.62044793981
11/2020,178207.50726210352
12/2020,185619.56772879141
01/2021,194312.0963414634
02/2021,197220.01786981273
03/2021,199638.46162899784
04/2021,199223.62501241517
05/2021,200177.85851979346
06/2021,204979.36050151466
07/2021,191411.9957615003
08/2021,196578.2967551124
09/2021,192888.42236808015
10/2021,195126.09264061827
11/2021,191438.21555927128
12/2021,195772.1053858379
01/2022,190827.90064539263
02/2022,187982.23766407714
03/2022,188462.9833528511
04/2022,187977.45108159393
05/2022,185324.46233548026
06/2022,180316.75892943103
07/2022,183819.14126299275
08/2022,187159.24008
09/2022,167931.0938038572
10/2022,158179.46731894292
11/2022,177754.67469159598
