Date,FTSE MIB
08/2014,14482.085966705377
09/2014,14864.299548307197
10/2014,14075.898488374094
11/2014,14263.026022128113
12/2014,13551.218488669158
01/2015,14617.052858139281
02/2015,15924.818679476786
03/2015,16512.043911982604
04/2015,16448.769217024827
05/2015,17038.981965892315
06/2015,16364.299138497
07/2015,17149.208615521806
08/2015,15986.322994368385
09/2015,15569.230466601697
10/2015,16408.218497684982
11/2015,16638.859678528486
12/2015,15690.128573852306
01/2016,13667.48574065407
02/2016,12909.865524880806
03/2016,13274.449071656953
04/2016,13678.76781547394
05/2016,13550.284121412009
06/2016,12263.012908201696
07/2016,12754.420417727733
08/2016,12827.485478375545
09/2016,12471.553024932033
10/2016,13022.1289312068
11/2016,12912.209639227687
12/2016,14671.438769848131
01/2017,14214.553671612528
02/2017,14461.173352173673
03/2017,15670.785532388529
04/2017,15837.270926343173
05/2017,16180.67138385528
06/2017,16088.00919941938
07/2017,16829.17963374443
08/2017,16972.60090961472
09/2017,17829.93204527255
10/2017,17906.431315400583
11/2017,17611.68352489228
12/2017,17207.844259009882
01/2018,18561.05803158325
02/2018,17850.85695411027
03/2018,17697.268287165483
04/2018,19004.136624163883
05/2018,17569.399308404307
06/2018,17480.626222771185
07/2018,18011.670574889944
08/2018,16433.741476972355
09/2018,16845.973655761067
10/2018,15494.599930987963
11/2018,15635.562345655233
12/2018,14932.51655428305
01/2019,16147.546425348564
02/2019,16907.572226998785
03/2019,17422.228269199404
04/2019,18005.33900729216
05/2019,16640.4989193305
06/2019,17898.476899408808
07/2019,18094.636649981927
08/2019,18030.968537231664
09/2019,18755.11545582779
10/2019,19252.30538728293
11/2019,19767.94087586275
12/2019,19979.788160911154
01/2020,19827.855127176397
02/2020,18758.840630550367
03/2020,14551.372577304544
04/2020,15107.0629148816
05/2020,15675.678666182544
06/2020,16744.26696020005
07/2020,16556.135391454798
08/2020,17025.941805312286
09/2020,16507.704021959267
10/2020,15576.926702167159
11/2020,19168.187745527535
12/2020,19318.887250558775
01/2021,18814.615798838924
02/2021,19927.529164142918
03/2021,21498.68819754819
04/2021,21087.87806015522
05/2021,22184.9153782917
06/2021,22176.28477546909
07/2021,22491.006715149946
08/2021,23064.093495738383
09/2021,22836.04231536206
10/2021,24038.41724743602
11/2021,23219.6574478496
12/2021,24600.070323430406
01/2022,24215.02905144511
02/2022,22954.17420375927
03/2022,22599.794930975666
04/2022,22137.02495826083
05/2022,22693.633270687013
06/2022,19777.833694102912
07/2022,20901.05788405158
08/2022,20111.714260657318
09/2022,19293.72900234985
10/2022,21165.520700742658
11/2022,23151.981391338413
12/2022,22304.358659330515
01/2023,25140.589487384812
02/2023,25973.733625008914
03/2023,25663.785974163926
04/2023,25983.159259620497
05/2023,25320.401909059838
06/2023,27503.7436161816
07/2023,28991.72757129263
08/2023,28196.44989619507
09/2023,27656.381523461223
10/2023,27165.44939376777
11/2023,29365.966246392643
12/2023,29974.88683091313
01/2024,30492.85004143181
02/2024,32316.956224894002
03/2024,34505.85086023259
04/2024,34029.64321104324
05/2024,35281.277329217744
06/2024,34002.12855418141
07/2024,34741.9466148448
08/2024,35368.390683538826
09/2024,35157.26876254531
