Date,MSCI Emerging Markets Asia
04/2012,67614.43785379145
05/2012,65214.97989196163
06/2012,65910.75612390788
07/2012,68982.12108433734
08/2012,66752.4337800333
09/2012,69864.07475638052
10/2012,69237.53017778804
11/2012,71208.03174187586
12/2012,72525.04774897682
01/2013,71387.14410332104
02/2013,73653.33516642547
03/2013,73761.50502147598
04/2013,73331.53691860466
05/2013,73076.70405966477
06/2013,68450.1103211009
07/2013,68377.83118644069
08/2013,67789.49059312428
09/2013,69931.78520547943
10/2013,72571.67794149987
11/2013,72848.12320916906
12/2013,70985.71938220579
01/2014,68985.73952352768
02/2014,69727.36011004126
03/2014,70831.65522193212
04/2014,70644.40401444044
05/2014,74873.32834570442
06/2014,76705.40164006445
07/2014,81021.25705957097
08/2014,83119.73912647861
09/2014,82087.08026702695
10/2014,83683.92101564995
11/2014,84109.51506849316
12/2014,84884.25352112675
01/2015,93350.70151260505
02/2015,96160.15521352312
03/2015,100825.76414164883
04/2015,103466.39288452966
05/2015,102881.86474020056
06/2015,96912.85696666368
07/2015,91836.74826297072
08/2015,81576.27044137317
09/2015,80442.52732303846
10/2015,88155.08969773987
11/2015,88790.79389356272
12/2015,85698.27643979057
01/2016,79205.69670329671
02/2016,78404.70931300514
03/2016,83564.9709090909
04/2016,82376.61894238357
05/2016,83208.95567509413
06/2016,86070.10987209511
07/2016,90187.16339422298
08/2016,93693.02597915918
09/2016,94722.5765074814
10/2016,95199.3274620866
11/2016,94721.16897038084
12/2016,94287.60580590076
01/2017,97832.77439330544
02/2017,102907.33849202603
03/2017,105423.6448975774
04/2017,105338.24036596525
05/2017,107266.81112200336
06/2017,107393.11861198739
07/2017,110430.99508825784
08/2017,111078.14963213529
09/2017,111248.12439437574
10/2017,118832.23744629661
11/2017,116852.83917630179
12/2017,118726.44779454682
01/2018,123469.4978084611
02/2018,119198.62867201572
03/2018,116572.2918918919
04/2018,119025.75120456991
05/2018,121266.40034190957
06/2018,116112.76968605249
07/2018,116251.6165644172
08/2018,116169.17215689641
09/2018,114968.62971665515
10/2018,104748.91309418627
11/2018,109755.15244299675
12/2018,105506.62066375546
01/2019,112860.50609331476
02/2019,115479.49950946042
03/2019,119492.05425901202
04/2019,121845.56678552328
05/2019,111828.63276836158
06/2019,116632.40725834799
07/2019,117238.61210653755
08/2019,114034.48613628127
09/2019,117905.20510607037
10/2019,120272.78714362561
11/2019,122805.09965397925
12/2019,128667.32280576823
01/2020,124918.52019543973
02/2020,122178.8254714403
03/2020,108098.14633077766
04/2020,118888.84429937479
05/2020,115787.73620689656
06/2020,124708.45836756566
07/2020,129370.16834908845
08/2020,132532.63341708545
09/2020,133673.70871199179
10/2020,138207.7928021884
11/2020,145062.47734557596
12/2020,151680.32496129087
01/2021,160061.6304878049
02/2021,161761.04818084315
03/2021,162268.96022174836
04/2021,161279.429846052
05/2021,161710.4659945906
06/2021,166232.71454055872
07/2021,152760.8417458582
08/2021,157604.211999324
09/2021,154451.14604024525
10/2021,155535.42667239156
11/2021,153611.51970430344
12/2021,156444.3761257284
01/2022,153297.2663858014
02/2022,149142.0620412537
03/2022,145812.69972074588
04/2022,145776.7212523719
05/2022,144023.26155138618
06/2022,141494.06277077118
07/2022,142418.92116101194
08/2022,145815.96473999997
09/2022,129863.81688551496
10/2022,120221.42408714948
11/2022,136366.7285851966
