Date,MSCI France
12/2002,151436.7770940232
01/2003,141928.4832878369
02/2003,135398.83547408695
03/2003,129026.07530553205
04/2003,146033.3010522404
05/2003,147172.35466480354
06/2003,154511.75250310233
07/2003,158754.7077071134
08/2003,165639.37651330102
09/2003,155997.0344568029
10/2003,167091.04649015586
11/2003,170268.09839413903
12/2003,176312.84372401153
01/2004,181168.32546207108
02/2004,185269.0130746293
03/2004,181521.1347401403
04/2004,183558.35375482755
05/2004,184892.42726736126
06/2004,188910.14830793042
07/2004,184816.78859044178
08/2004,183407.31168233015
09/2004,185082.93655719413
10/2004,187827.55264567916
11/2004,190619.88151576373
12/2004,193702.31955320545
01/2005,199050.2021957978
02/2005,205395.83158458464
03/2005,207264.77269405918
04/2005,198294.9364360616
05/2005,212638.9858840368
06/2005,219146.87432247127
07/2005,231702.89875930845
08/2005,230343.80193062642
09/2005,239211.85996263407
10/2005,229302.56793503687
11/2005,238143.01717400277
12/2005,245755.17569209583
01/2006,258645.37191357012
02/2006,261041.5599290724
03/2006,271212.4794238772
04/2006,270763.40280723915
05/2006,258856.485851873
06/2006,264682.3594841034
07/2006,265227.9213819129
08/2006,272171.3442564704
09/2006,278726.6331700173
10/2006,285432.5546823846
11/2006,285277.0479891573
12/2006,296031.0122120285
01/2007,300048.31892875704
02/2007,294353.7662880125
03/2007,300989.0347655188
04/2007,318631.7213475821
05/2007,329087.25175472803
06/2007,326071.12196868204
07/2007,309912.25416614534
08/2007,304218.54919385095
09/2007,309201.2362314098
10/2007,315079.7260143702
11/2007,303355.77442562865
12/2007,299899.414630849
01/2008,261077.14467430318
02/2008,260202.02345790007
03/2008,255890.20217707657
04/2008,271910.09525287803
05/2008,278224.0896812863
06/2008,246567.36916049177
07/2008,244056.93271113155
08/2008,249545.25333039023
09/2008,220315.14873614165
10/2008,191636.82285125757
11/2008,181309.492342687
12/2008,179952.9452878209
01/2009,167528.46363735123
02/2009,153667.59001216336
03/2009,158112.4746178312
04/2009,179299.743550225
05/2009,189297.4564538597
06/2009,180821.71219066376
07/2009,199790.3097452683
08/2009,213554.44187620826
09/2009,220880.56122825775
10/2009,209803.66988745736
11/2009,214699.3112125178
12/2009,229187.94390651069
01/2010,218935.42470813682
02/2010,220148.67061033973
03/2010,235411.44242266534
04/2010,226205.83499898258
05/2010,212539.22934121673
06/2010,209849.41289606396
07/2010,222156.18460091605
08/2010,214360.95285486907
09/2010,228003.6654218189
10/2010,235986.64542404006
11/2010,224023.314990667
12/2010,236938.19051085642
01/2011,247281.5199804026
02/2011,253275.6734470382
03/2011,246395.85464031962
04/2011,254126.73117875986
05/2011,252861.03328502862
06/2011,253091.53957216095
07/2011,235689.74451518498
08/2011,207608.41346089967
09/2011,189848.34321038995
10/2011,206649.22161117228
11/2011,202699.06645241863
12/2011,203407.9813984518
01/2012,210749.5485317349
02/2012,221248.37064935558
03/2012,221144.28855699397
04/2012,210093.60432436471
05/2012,198580.71562635817
06/2012,213436.23244768957
07/2012,218807.18513397232
08/2012,225613.6370428306
09/2012,222762.99706923787
10/2012,227652.87579099718
11/2012,237332.61587822664
12/2012,241953.28120408914
01/2013,248739.9963578921
02/2013,248041.52815238212
03/2013,250686.21956036708
04/2013,260123.33977758113
05/2013,266283.3244831351
06/2013,251953.4043628501
07/2013,270832.4458924805
08/2013,265531.6737484072
09/2013,281676.4384558031
10/2013,290168.6934572734
11/2013,291504.16424744244
12/2013,292426.4344520193
01/2014,283617.4801641433
02/2014,301003.2858243241
03/2014,300992.27059223776
04/2014,308143.6057663853
05/2014,314777.2116544624
06/2014,309014.21560989117
