Fund,ISIN,Tickers,Index
iShares Global High Yield Corp Bond UCITS ETF GBP Hedged (Dist),IE00BJSFQX44,GHYG,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
iShares MDAX UCITS ETF (DE),DE0005933923,"EXS3
MDAXEX",MDAX
iShares MDAX® UCITS ETF (DE) EUR (Dist),DE000A2QP349,EXID,MDAX
Amundi MDAX UCITS ETF Dist,FR0011857234,MD4X,MDAX
Invesco MDAX UCITS ETF A,IE00BHJYDV33,DEAM,MDAX
HANetf The Medical Cannabis and Wellness UCITS ETF,IE00BG5J1M21,"CBDP
CBDX
CBSX",Medical Cannabis and Wellness Equity
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,"TDGB
TDIV
VDIV",Morningstar Developed Markets Large Cap Dividend Leaders
VanEck Morningstar US Sustainable Wide Moat UCITS ETF,IE00BQQP9H09,"GMVM
MOAT
MOGB",Morningstar US Sustainable Moat Focus
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Acc,FR0011869312,PAEJ,MSCI AC Asia Pacific ex-Japan
Amundi MSCI AC Asia Pacific Ex Japan UCITS ETF Acc,LU1900068328,"AEJ
AEJL
LASP
LYAEJ",MSCI AC Asia Pacific ex-Japan
Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF USD,LU1900068674,LYPXJ,MSCI AC Asia Pacific ex-Japan
iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,"IDFF
IFFF
IQQF",MSCI AC Far East ex-Japan
HSBC MSCI AC Far East ex Japan UCITS ETF USD,IE00BBQ2W338,"H411
HMAD
HMAF",MSCI AC Far East ex-Japan
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,"ACWD
ACWE
ACWI
SPYY",MSCI ACWI
iShares MSCI ACWI UCITS ETF (Acc),IE00B6R52259,"ISAC
IUSQ
SSAC",MSCI ACWI
UBS ETFs plc – MSCI ACWI SF UCITS ETF (USD) A-UKdis,IE00BJXFZ989,ACWUKD,MSCI ACWI
UBS ETF (IE) MSCI ACWI SF UCITS ETF (USD) A-acc,IE00BYM11H29,ACWIA,MSCI ACWI
Amundi MSCI All Country World UCITS ETF USD Acc,LU1829220133,"ACWL
ACWU
LYAC",MSCI ACWI
Amundi MSCI All Country World UCITS ETF EUR Acc,LU1829220216,"ACWI
LYY0",MSCI ACWI
SPDR MSCI ACWI IMI UCITS ETF,IE00B3YLTY66,"IMID
IMIE
SPYI",MSCI ACWI IMI
Lyxor MSCI Robotics & AI ESG Filtered UCITS ETF Acc,LU1838002480,ROAI,MSCI ACWI IMI Robotics & AI ESG Filtered
