Fund,ISIN,Tickers,Index
iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),DE000A0H08N1,"EXH7
SXQPEX",STOXX Europe 600 Personal & Household Goods
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Acc,LU1834988351,"LPHG
PHG",STOXX Europe 600 Personal & Household Goods
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Dist,LU2082998324,"MTDA
PHGD",STOXX Europe 600 Personal & Household Goods
SPDR STOXX Europe 600 SRI UCITS ETF,IE00BK5H8015,"600X
ZPDX",STOXX Europe 600 SRI
iShares STOXX Europe 600 Technology UCITS ETF (DE),DE000A0H08Q4,"EXV3
SX8PEX",STOXX Europe 600 Technology
Xtrackers STOXX Europe 600 Technology Swap UCITS ETF 1C,LU0292104469,"DXSH
XS8R",STOXX Europe 600 Technology
ComStage STOXX Europe 600 Technology UCITS ETF,LU0378437098,"C076
CBTECH",STOXX Europe 600 Technology
Amundi STOXX Europe 600 Technology UCITS ETF Acc,LU1834988518,"LTUG
TNO",STOXX Europe 600 Technology
iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),DE0002635299,EXSH,STOXX Europe Select Dividend 30
Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist,LU1812092168,"LYSEL
SEL
SELD",STOXX Europe Select Dividend 30
Deka STOXX Europe Strong Growth 20 UCITS ETF,DE000ETFL037,EL4C,STOXX Europe Strong Growth 20
iShares Ageing Population UCITS ETF,IE00BYZK4669,"2B77
AGED
AGES",STOXX Global Ageing Population
iShares Healthcare Innovation UCITS ETF,IE00BYZK4776,"2B78
DRDR
HEAL",STOXX Global Breakthrough Healthcare
iShares Digital Security UCITS ETF USD (Dist),IE00BG0J4841,"IS4S
SHLD
SHLG",STOXX Global Digital Security
iShares Digital Security UCITS ETF USD (Acc),IE00BG0J4C88,"L0CK
LOCK",STOXX Global Digital Security
iShares Digitalisation UCITS ETF,IE00BYZK4883,"2B79
DGIT
DGTL",STOXX Global Digitalisation
iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),IE00BGL86Z12,"ECAR
IEVD",STOXX Global Electric Vehicles & Driving Technology
iShares STOXX Global Select Dividend 100 UCITS ETF (DE),DE000A0F5UH1,"ISPA
SDGPEX",STOXX Global Select Dividend 100
Xtrackers STOXX Global Select Dividend 100 Swap UCITS ETF 1D,LU0292096186,"DXSB
XGDD
XGSD",STOXX Global Select Dividend 100
UBS ETF (CH) SXI Real Estate Funds (CHF) A-dis,CH0105994401,SRECHA,SXI Real Estate Funds Broad
Amundi Japan TOPIX II UCITS ETF EUR Dist,FR0010245514,"JPN
JPNC
JPNL
JPNU
LYY4",TOPIX
Amundi Japan TOPIX II UCITS ETF JPY Dist,FR0010377028,LYJPN,TOPIX
Lyxor PEA Japon (TOPIX) UCITS ETF - Capi,FR0011871102,PJPN,TOPIX
Amundi ETF PEA Japan Topix UCITS ETF,FR0013411980,PTPXE,TOPIX
Amundi ETF Japan Topix UCITS ETF EUR,LU1681037609,TPXE,TOPIX
Amundi ETF Japan Topix UCITS ETF JPY,LU1681037781,"TPXG
TPXU
TPXY",TOPIX
Amundi Japan TOPIX II UCITS ETF EUR Hedged Dist,FR0011475078,JPNH,TOPIX (EUR Hedged)
Amundi ETF PEA Japan Topix UCITS ETF EUR Hedged,FR0013411998,PTPXH,TOPIX (EUR Hedged)
Amundi Japan Topix UCITS ETF Daily Hedged EUR (C),LU1681037864,"TPXH
TTPX",TOPIX (EUR Hedged)
UBS ETF (IE) CMCI Composite SF UCITS ETF (USD) A-acc,IE00B53H0131,"CCUSAS
UC14
UC15
UIQK",UBS CMCI
WisdomTree Emerging Markets Equity Income UCITS ETF Acc,IE00BDF12W49,"DEMR
DEMS
WTD8",WisdomTree Emerging Markets High Dividend
WisdomTree Emerging Markets Equity Income UCITS ETF,IE00BQQ3Q067,"DEM
DEMD
WTEI",WisdomTree Emerging Markets High Dividend
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,DE000A14ND04,WTED,WisdomTree Emerging Markets SmallCap Dividend
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,IE00BQZJBM26,"DGSD
DGSE
WTED",WisdomTree Emerging Markets SmallCap Dividend
WisdomTree Global Quality Dividend Growth UCITS ETF USD,IE00BZ56RN96,"GGRP
GGRW",WisdomTree Global Developed Quality Dividend Growth
WisdomTree Global Quality Dividend Growth UCITS ETF USD Acc,IE00BZ56SW52,"GGRA
GGRG
WTEM",WisdomTree Global Developed Quality Dividend Growth
WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,IE000KF370H3,"NTSX
WTEF",WisdomTree US Efficient Core
Amundi MSCI New Energy ESG Screened UCITS ETF Dist,FR0010524777,"ENER
LYM9
LYNRJ
NRJ
NRJL
NRJU",World Alternative Energy CW
Amundi MSCI Water ESG Screened UCITS ETF Dist,FR0010527275,"LYM8
LYWAT
WAT
WATL
WATU",World Water
Amundi PEA Eau (MSCI Water) UCITS ETF Capi,FR0011882364,AWAT,World Water
BNP Paribas B Pension Sustainable Balanced,BE0026480963,,Active fund
Star Fund Balanced,BE0026510298,,Active fund
Interbeurs Hermes Pensioenfonds,BE0026534538,,Active fund
Pricos Responsible Investing,BE0026535543,,Active fund
Metropolitan-Rentastro Sustainable Growth,BE0026549684,,Active fund
DPAM B Equities World Sustainable B,BE0058652646,,Active fund
VDK Pension Fund,BE0152168721,,Active fund
Belfius Pension Fund High Equities,BE0159537696,,Active fund
BNP Paribas B Strategy - Global Sustainable Dynamic Classic-Capitalisation,BE0163304539,,Active fund
Argenta Pension Fund,BE0172903495,,Active fund
Dierickx Leys Fund II Equity C,BE0935007246,,Active fund
Pricos Defensive Responsible Investing,BE0942006397,,Active fund
Belfius Pension Fund Low Equities,BE0943599804,,Active fund
BNP Paribas B Pension Sustainable Stability,BE0946410785,,Active fund
BNP Paribas B Pension Sustainable Growth,BE0946411791,,Active fund
Argenta Pension Fund Defensive,BE6208865897,,Active fund
KBC Equity Fund World,BE6213775529,,Active fund
DPAM B - Active Strategy B,BE6227496963,,Active fund
Belfius Pension Fund Balanced Plus,BE6242862397,,Active fund
Crelan Pension Fund Sustainable Balanced,BE6280093228,,Active fund
Crelan Pension Fund Sustainable Growth,BE6280095249,,Active fund
Crelan Pension Fund Sustainable Stability,BE6280097260,,Active fund
Horizon - KBC Highly Dynamic Comfort Portfolio Shares Cap,BE6292610266,,Active fund
Value Square Fund Equity World A Cap,BE6294297641,,Active fund
C+F World Equities C Cap,BE6295855702,,Active fund
C+F - World Equities D Cap,BE6295857724,,Active fund
Belfius Managed Portfolio Equities World M Cap,BE6297977587,,Active fund
Horizon KBC Dynamic Tolerant Responsible Investing Classic,BE6307334068,,Active fund
PTAM Global Allocation R,DE000A1JCWX9,,Active fund
JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),IE00BF4G6Y48,,Active fund
Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating,IE00BMVB5K07,"V20A
VNGA20",Active fund
Vanguard LifeStrategy 40% Equity UCITS ETF Accumulating,IE00BMVB5M21,"V40A
VNGA40",Active fund
Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating,IE00BMVB5P51,"V60A
VNGA60",Active fund
Vanguard LifeStrategy 80% Equity UCITS ETF Accumulating,IE00BMVB5R75,"V80A
VNGA80",Active fund
DP Global Strategy L - Medium B,LU0034463017,,Active fund
DP Global Strategy L - High B,LU0035601805,,Active fund
Eurizon Fund - Equity Emerging Markets Smart Volatility Class Unit R EUR Accumulation,LU0090981274,,Active fund
Eurizon Fund - Equity World Smart Volatility Class Unit R EUR Accumulation,LU0114064917,,Active fund
Fidelity Funds - Global Technology Fund E-Acc-EUR,LU0115773425,,Active fund
Indépendance et Expansion SICAV - France Small A (C),LU0131510165,,Active fund
JPMorgan Funds - Global Focus Fund A (dist) - EUR,LU0168341575,,Active fund
Schroder International Selection Fund - Emerging Asia A,LU0248172537,,Active fund
Franklin Technology Fund A (Acc) EUR,LU0260870158,,Active fund
Universal Invest High D,LU0266643146,,Active fund
Fidelity Funds - Global Technology Fund Y-Acc-EUR,LU0346389348,,Active fund
MercLin Global Equity C,LU0379615668,,Active fund
Pictet-Global Megatrend Selection R EUR,LU0391944815,,Active fund
Xtrackers Portfolio UCITS ETF 1C,LU0397221945,,Active fund
Man AHL Trend Alternative DNY H EUR Acc,LU0424370004,,Active fund
Argenta Portfolio Dynamic R Cap,LU0476180459,,Active fund
Amundi Funds - Volatility World A EUR (C),LU0557872479,,Active fund
BlackRock Global Funds - European Equity Income Fund A2,LU0562822386,,Active fund
ING Multi-Strategy Pure Equity RP Cap,LU0607225017,,Active fund
ABN AMRO Funds - Global ESG Equities A EUR Capitalisation,LU0756526744,,Active fund
BNP Paribas Comfort Sustainable Equity World Plus,LU1040910678,,Active fund
Lyxor Smart Overnight Return UCITS ETF C-EUR,LU1190417599,,Active fund
Argenta Portfolio Dynamic R Dis,LU1243878250,,Active fund
Econopolis Sustainable Equities Fund,LU1248447622,,Active fund
Allianz Global Investors Fund - Allianz Thematica A EUR,LU1479563717,,Active fund
Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT (H2-EUR),LU1548497772,,Active fund
Argenta-Fund Longer Life Dynamic R Cap,LU1600559873,,Active fund
FFPB MultiTrend Flex,LU1651191345,,Active fund
ING ARIA - ING Global Index Portfolio Active A,LU1693143494,,Active fund
CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares),LU1829329819,,Active fund
Kempen (Lux) Global Sustainable Equity Fund,LU1857108150,,Active fund
CT (Lux) - European Smaller Companies 1E (EUR Accumulation),LU1864952335,,Active fund
DWS Invest Enhanced Commodity Strategy LC,LU1881477043,,Active fund
Eurizon Fund - Sustainable Multiasset Class R EUR Accumulation,LU2215042750,,Active fund
Argenta Portfolio Dynamic Growth R Cap,LU2355196820,,Active fund
Hoofbosch Beleggingsfonds,NL0006327413,,Active fund
Rolinco N.V. EUR G,NL0010510798,,Active fund
Goldman Sachs Global Fund,NL0010623286,,Active fund
